roi_i,roi_j,consistency,roi_i_name,roi_i_network,roi_j_name,roi_j_network
0.0,30.0,0.0,Parcel_0,unknown,LH_SomMot_10,Somatomotor
0.0,29.0,0.0,Parcel_0,unknown,LH_SomMot_9,Somatomotor
0.0,60.0,0.0,Parcel_0,unknown,LH_DorsAttn_20,DorsalAttn
0.0,59.0,0.0,Parcel_0,unknown,LH_DorsAttn_19,DorsalAttn
0.0,58.0,0.0,Parcel_0,unknown,LH_DorsAttn_18,DorsalAttn
0.0,57.0,0.0,Parcel_0,unknown,LH_DorsAttn_17,DorsalAttn
0.0,56.0,0.0,Parcel_0,unknown,LH_DorsAttn_16,DorsalAttn
0.0,55.0,0.0,Parcel_0,unknown,LH_DorsAttn_15,DorsalAttn
0.0,54.0,0.0,Parcel_0,unknown,LH_DorsAttn_14,DorsalAttn
0.0,53.0,0.0,Parcel_0,unknown,LH_DorsAttn_13,DorsalAttn
0.0,52.0,0.0,Parcel_0,unknown,LH_DorsAttn_12,DorsalAttn
0.0,51.0,0.0,Parcel_0,unknown,LH_DorsAttn_11,DorsalAttn
0.0,50.0,0.0,Parcel_0,unknown,LH_DorsAttn_10,DorsalAttn
0.0,49.0,0.0,Parcel_0,unknown,LH_DorsAttn_9,DorsalAttn
0.0,48.0,0.0,Parcel_0,unknown,LH_DorsAttn_8,DorsalAttn
0.0,47.0,0.0,Parcel_0,unknown,LH_DorsAttn_7,DorsalAttn
0.0,46.0,0.0,Parcel_0,unknown,LH_DorsAttn_6,DorsalAttn
0.0,45.0,0.0,Parcel_0,unknown,LH_DorsAttn_5,DorsalAttn
0.0,76.0,0.0,Parcel_0,unknown,LH_SalVentAttn_16,Salience
0.0,75.0,0.0,Parcel_0,unknown,LH_SalVentAttn_15,Salience
0.0,74.0,0.0,Parcel_0,unknown,LH_SalVentAttn_14,Salience
0.0,73.0,0.0,Parcel_0,unknown,LH_SalVentAttn_13,Salience
0.0,72.0,0.0,Parcel_0,unknown,LH_SalVentAttn_12,Salience
0.0,71.0,0.0,Parcel_0,unknown,LH_SalVentAttn_11,Salience
0.0,70.0,0.0,Parcel_0,unknown,LH_SalVentAttn_10,Salience
0.0,69.0,0.0,Parcel_0,unknown,LH_SalVentAttn_9,Salience
0.0,68.0,0.0,Parcel_0,unknown,LH_SalVentAttn_8,Salience
0.0,67.0,0.0,Parcel_0,unknown,LH_SalVentAttn_7,Salience
0.0,66.0,0.0,Parcel_0,unknown,LH_SalVentAttn_6,Salience
0.0,65.0,0.0,Parcel_0,unknown,LH_SalVentAttn_5,Salience
0.0,64.0,0.0,Parcel_0,unknown,LH_SalVentAttn_4,Salience
0.0,63.0,0.0,Parcel_0,unknown,LH_SalVentAttn_3,Salience
0.0,62.0,0.0,Parcel_0,unknown,LH_SalVentAttn_2,Salience
0.0,61.0,0.0,Parcel_0,unknown,LH_SalVentAttn_1,Salience
0.0,92.0,0.0,Parcel_0,unknown,LH_FrontPar_2,Frontoparietal
0.0,91.0,0.0,Parcel_0,unknown,LH_FrontPar_1,Frontoparietal
0.0,90.0,0.0,Parcel_0,unknown,LH_Limbic_10,Limbic
0.0,89.0,0.0,Parcel_0,unknown,LH_Limbic_9,Limbic
0.0,88.0,0.0,Parcel_0,unknown,LH_Limbic_8,Limbic
0.0,87.0,0.0,Parcel_0,unknown,LH_Limbic_7,Limbic
0.0,86.0,0.0,Parcel_0,unknown,LH_Limbic_6,Limbic
0.0,85.0,0.0,Parcel_0,unknown,LH_Limbic_5,Limbic
0.0,84.0,0.0,Parcel_0,unknown,LH_Limbic_4,Limbic
0.0,83.0,0.0,Parcel_0,unknown,LH_Limbic_3,Limbic
0.0,82.0,0.0,Parcel_0,unknown,LH_Limbic_2,Limbic
0.0,81.0,0.0,Parcel_0,unknown,LH_Limbic_1,Limbic
0.0,80.0,0.0,Parcel_0,unknown,LH_SalVentAttn_20,Salience
0.0,79.0,0.0,Parcel_0,unknown,LH_SalVentAttn_19,Salience
0.0,78.0,0.0,Parcel_0,unknown,LH_SalVentAttn_18,Salience
0.0,77.0,0.0,Parcel_0,unknown,LH_SalVentAttn_17,Salience
0.0,108.0,0.0,Parcel_0,unknown,LH_Default_8,Default
0.0,107.0,0.0,Parcel_0,unknown,LH_Default_7,Default
0.0,106.0,0.0,Parcel_0,unknown,LH_Default_6,Default
0.0,105.0,0.0,Parcel_0,unknown,LH_Default_5,Default
0.0,104.0,0.0,Parcel_0,unknown,LH_Default_4,Default
0.0,103.0,0.0,Parcel_0,unknown,LH_Default_3,Default
0.0,102.0,0.0,Parcel_0,unknown,LH_Default_2,Default
0.0,101.0,0.0,Parcel_0,unknown,LH_Default_1,Default
0.0,100.0,0.0,Parcel_0,unknown,LH_FrontPar_10,Frontoparietal
0.0,99.0,0.0,Parcel_0,unknown,LH_FrontPar_9,Frontoparietal
0.0,98.0,0.0,Parcel_0,unknown,LH_FrontPar_8,Frontoparietal
0.0,97.0,0.0,Parcel_0,unknown,LH_FrontPar_7,Frontoparietal
0.0,96.0,0.0,Parcel_0,unknown,LH_FrontPar_6,Frontoparietal
0.0,95.0,0.0,Parcel_0,unknown,LH_FrontPar_5,Frontoparietal
0.0,94.0,0.0,Parcel_0,unknown,LH_FrontPar_4,Frontoparietal
0.0,93.0,0.0,Parcel_0,unknown,LH_FrontPar_3,Frontoparietal
0.0,124.0,0.0,Parcel_0,unknown,RH_Vis_4,Visual
0.0,123.0,0.0,Parcel_0,unknown,RH_Vis_3,Visual
0.0,122.0,0.0,Parcel_0,unknown,RH_Vis_2,Visual
0.0,121.0,0.0,Parcel_0,unknown,RH_Vis_1,Visual
0.0,120.0,0.0,Parcel_0,unknown,LH_Default_20,Default
0.0,119.0,0.0,Parcel_0,unknown,LH_Default_19,Default
0.0,118.0,0.0,Parcel_0,unknown,LH_Default_18,Default
0.0,117.0,0.0,Parcel_0,unknown,LH_Default_17,Default
0.0,116.0,0.0,Parcel_0,unknown,LH_Default_16,Default
0.0,115.0,0.0,Parcel_0,unknown,LH_Default_15,Default
0.0,114.0,0.0,Parcel_0,unknown,LH_Default_14,Default
0.0,113.0,0.0,Parcel_0,unknown,LH_Default_13,Default
0.0,112.0,0.0,Parcel_0,unknown,LH_Default_12,Default
0.0,111.0,0.0,Parcel_0,unknown,LH_Default_11,Default
0.0,110.0,0.0,Parcel_0,unknown,LH_Default_10,Default
0.0,109.0,0.0,Parcel_0,unknown,LH_Default_9,Default
0.0,140.0,0.0,Parcel_0,unknown,RH_Vis_20,Visual
0.0,139.0,0.0,Parcel_0,unknown,RH_Vis_19,Visual
0.0,138.0,0.0,Parcel_0,unknown,RH_Vis_18,Visual
0.0,137.0,0.0,Parcel_0,unknown,RH_Vis_17,Visual
0.0,136.0,0.0,Parcel_0,unknown,RH_Vis_16,Visual
0.0,135.0,0.0,Parcel_0,unknown,RH_Vis_15,Visual
0.0,134.0,0.0,Parcel_0,unknown,RH_Vis_14,Visual
0.0,133.0,0.0,Parcel_0,unknown,RH_Vis_13,Visual
0.0,132.0,0.0,Parcel_0,unknown,RH_Vis_12,Visual
0.0,131.0,0.0,Parcel_0,unknown,RH_Vis_11,Visual
0.0,130.0,0.0,Parcel_0,unknown,RH_Vis_10,Visual
0.0,129.0,0.0,Parcel_0,unknown,RH_Vis_9,Visual
0.0,128.0,0.0,Parcel_0,unknown,RH_Vis_8,Visual
0.0,127.0,0.0,Parcel_0,unknown,RH_Vis_7,Visual
0.0,126.0,0.0,Parcel_0,unknown,RH_Vis_6,Visual
0.0,125.0,0.0,Parcel_0,unknown,RH_Vis_5,Visual
0.0,156.0,0.0,Parcel_0,unknown,RH_SomMot_16,Somatomotor
0.0,155.0,0.0,Parcel_0,unknown,RH_SomMot_15,Somatomotor
0.0,154.0,0.0,Parcel_0,unknown,RH_SomMot_14,Somatomotor
0.0,153.0,0.0,Parcel_0,unknown,RH_SomMot_13,Somatomotor
0.0,152.0,0.0,Parcel_0,unknown,RH_SomMot_12,Somatomotor
0.0,151.0,0.0,Parcel_0,unknown,RH_SomMot_11,Somatomotor
0.0,150.0,0.0,Parcel_0,unknown,RH_SomMot_10,Somatomotor
0.0,149.0,0.0,Parcel_0,unknown,RH_SomMot_9,Somatomotor
0.0,148.0,0.0,Parcel_0,unknown,RH_SomMot_8,Somatomotor
0.0,147.0,0.0,Parcel_0,unknown,RH_SomMot_7,Somatomotor
0.0,146.0,0.0,Parcel_0,unknown,RH_SomMot_6,Somatomotor
0.0,145.0,0.0,Parcel_0,unknown,RH_SomMot_5,Somatomotor
0.0,144.0,0.0,Parcel_0,unknown,RH_SomMot_4,Somatomotor
0.0,143.0,0.0,Parcel_0,unknown,RH_SomMot_3,Somatomotor
0.0,142.0,0.0,Parcel_0,unknown,RH_SomMot_2,Somatomotor
0.0,141.0,0.0,Parcel_0,unknown,RH_SomMot_1,Somatomotor
0.0,172.0,0.0,Parcel_0,unknown,RH_DorsAttn_12,DorsalAttn
0.0,171.0,0.0,Parcel_0,unknown,RH_DorsAttn_11,DorsalAttn
0.0,170.0,0.0,Parcel_0,unknown,RH_DorsAttn_10,DorsalAttn
0.0,169.0,0.0,Parcel_0,unknown,RH_DorsAttn_9,DorsalAttn
0.0,168.0,0.0,Parcel_0,unknown,RH_DorsAttn_8,DorsalAttn
0.0,167.0,0.0,Parcel_0,unknown,RH_DorsAttn_7,DorsalAttn
0.0,166.0,0.0,Parcel_0,unknown,RH_DorsAttn_6,DorsalAttn
0.0,165.0,0.0,Parcel_0,unknown,RH_DorsAttn_5,DorsalAttn
0.0,164.0,0.0,Parcel_0,unknown,RH_DorsAttn_4,DorsalAttn
0.0,163.0,0.0,Parcel_0,unknown,RH_DorsAttn_3,DorsalAttn
0.0,162.0,0.0,Parcel_0,unknown,RH_DorsAttn_2,DorsalAttn
0.0,161.0,0.0,Parcel_0,unknown,RH_DorsAttn_1,DorsalAttn
0.0,160.0,0.0,Parcel_0,unknown,RH_SomMot_20,Somatomotor
0.0,159.0,0.0,Parcel_0,unknown,RH_SomMot_19,Somatomotor
0.0,158.0,0.0,Parcel_0,unknown,RH_SomMot_18,Somatomotor
0.0,157.0,0.0,Parcel_0,unknown,RH_SomMot_17,Somatomotor
0.0,188.0,0.0,Parcel_0,unknown,RH_SalVentAttn_8,Salience
0.0,187.0,0.0,Parcel_0,unknown,RH_SalVentAttn_7,Salience
0.0,186.0,0.0,Parcel_0,unknown,RH_SalVentAttn_6,Salience
0.0,185.0,0.0,Parcel_0,unknown,RH_SalVentAttn_5,Salience
0.0,184.0,0.0,Parcel_0,unknown,RH_SalVentAttn_4,Salience
0.0,183.0,0.0,Parcel_0,unknown,RH_SalVentAttn_3,Salience
0.0,182.0,0.0,Parcel_0,unknown,RH_SalVentAttn_2,Salience
0.0,181.0,0.0,Parcel_0,unknown,RH_SalVentAttn_1,Salience
0.0,180.0,0.0,Parcel_0,unknown,RH_DorsAttn_20,DorsalAttn
0.0,179.0,0.0,Parcel_0,unknown,RH_DorsAttn_19,DorsalAttn
0.0,178.0,0.0,Parcel_0,unknown,RH_DorsAttn_18,DorsalAttn
0.0,177.0,0.0,Parcel_0,unknown,RH_DorsAttn_17,DorsalAttn
0.0,176.0,0.0,Parcel_0,unknown,RH_DorsAttn_16,DorsalAttn
0.0,175.0,0.0,Parcel_0,unknown,RH_DorsAttn_15,DorsalAttn
0.0,174.0,0.0,Parcel_0,unknown,RH_DorsAttn_14,DorsalAttn
0.0,173.0,0.0,Parcel_0,unknown,RH_DorsAttn_13,DorsalAttn
1.0,6.0,0.0,LH_Vis_1,Visual,LH_Vis_6,Visual
1.0,5.0,0.0,LH_Vis_1,Visual,LH_Vis_5,Visual
1.0,4.0,0.0,LH_Vis_1,Visual,LH_Vis_4,Visual
1.0,3.0,0.0,LH_Vis_1,Visual,LH_Vis_3,Visual
1.0,2.0,0.0,LH_Vis_1,Visual,LH_Vis_2,Visual
0.0,199.0,0.0,Parcel_0,unknown,RH_SalVentAttn_19,Salience
0.0,198.0,0.0,Parcel_0,unknown,RH_SalVentAttn_18,Salience
0.0,197.0,0.0,Parcel_0,unknown,RH_SalVentAttn_17,Salience
0.0,196.0,0.0,Parcel_0,unknown,RH_SalVentAttn_16,Salience
0.0,195.0,0.0,Parcel_0,unknown,RH_SalVentAttn_15,Salience
0.0,194.0,0.0,Parcel_0,unknown,RH_SalVentAttn_14,Salience
0.0,193.0,0.0,Parcel_0,unknown,RH_SalVentAttn_13,Salience
0.0,192.0,0.0,Parcel_0,unknown,RH_SalVentAttn_12,Salience
0.0,191.0,0.0,Parcel_0,unknown,RH_SalVentAttn_11,Salience
0.0,190.0,0.0,Parcel_0,unknown,RH_SalVentAttn_10,Salience
0.0,189.0,0.0,Parcel_0,unknown,RH_SalVentAttn_9,Salience
1.0,22.0,0.0,LH_Vis_1,Visual,LH_SomMot_2,Somatomotor
1.0,21.0,0.0,LH_Vis_1,Visual,LH_SomMot_1,Somatomotor
1.0,20.0,0.0,LH_Vis_1,Visual,LH_Vis_20,Visual
1.0,19.0,0.0,LH_Vis_1,Visual,LH_Vis_19,Visual
1.0,18.0,0.0,LH_Vis_1,Visual,LH_Vis_18,Visual
1.0,17.0,0.0,LH_Vis_1,Visual,LH_Vis_17,Visual
1.0,16.0,0.0,LH_Vis_1,Visual,LH_Vis_16,Visual
1.0,15.0,0.0,LH_Vis_1,Visual,LH_Vis_15,Visual
1.0,14.0,0.0,LH_Vis_1,Visual,LH_Vis_14,Visual
1.0,13.0,0.0,LH_Vis_1,Visual,LH_Vis_13,Visual
1.0,12.0,0.0,LH_Vis_1,Visual,LH_Vis_12,Visual
1.0,11.0,0.0,LH_Vis_1,Visual,LH_Vis_11,Visual
1.0,10.0,0.0,LH_Vis_1,Visual,LH_Vis_10,Visual
1.0,9.0,0.0,LH_Vis_1,Visual,LH_Vis_9,Visual
1.0,8.0,0.0,LH_Vis_1,Visual,LH_Vis_8,Visual
1.0,7.0,0.0,LH_Vis_1,Visual,LH_Vis_7,Visual
1.0,38.0,0.0,LH_Vis_1,Visual,LH_SomMot_18,Somatomotor
1.0,37.0,0.0,LH_Vis_1,Visual,LH_SomMot_17,Somatomotor
1.0,36.0,0.0,LH_Vis_1,Visual,LH_SomMot_16,Somatomotor
1.0,35.0,0.0,LH_Vis_1,Visual,LH_SomMot_15,Somatomotor
1.0,34.0,0.0,LH_Vis_1,Visual,LH_SomMot_14,Somatomotor
1.0,33.0,0.0,LH_Vis_1,Visual,LH_SomMot_13,Somatomotor
1.0,32.0,0.0,LH_Vis_1,Visual,LH_SomMot_12,Somatomotor
1.0,31.0,0.0,LH_Vis_1,Visual,LH_SomMot_11,Somatomotor
1.0,30.0,0.0,LH_Vis_1,Visual,LH_SomMot_10,Somatomotor
1.0,29.0,0.0,LH_Vis_1,Visual,LH_SomMot_9,Somatomotor
1.0,28.0,0.0,LH_Vis_1,Visual,LH_SomMot_8,Somatomotor
1.0,27.0,0.0,LH_Vis_1,Visual,LH_SomMot_7,Somatomotor
1.0,26.0,0.0,LH_Vis_1,Visual,LH_SomMot_6,Somatomotor
1.0,25.0,0.0,LH_Vis_1,Visual,LH_SomMot_5,Somatomotor
1.0,24.0,0.0,LH_Vis_1,Visual,LH_SomMot_4,Somatomotor
1.0,23.0,0.0,LH_Vis_1,Visual,LH_SomMot_3,Somatomotor
1.0,54.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_14,DorsalAttn
1.0,53.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_13,DorsalAttn
1.0,52.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_12,DorsalAttn
1.0,51.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_11,DorsalAttn
1.0,50.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_10,DorsalAttn
1.0,49.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_9,DorsalAttn
1.0,48.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_8,DorsalAttn
1.0,47.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_7,DorsalAttn
1.0,46.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_6,DorsalAttn
1.0,45.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_5,DorsalAttn
1.0,44.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_4,DorsalAttn
1.0,43.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_3,DorsalAttn
1.0,42.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_2,DorsalAttn
1.0,41.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_1,DorsalAttn
1.0,40.0,0.0,LH_Vis_1,Visual,LH_SomMot_20,Somatomotor
1.0,39.0,0.0,LH_Vis_1,Visual,LH_SomMot_19,Somatomotor
1.0,70.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_10,Salience
1.0,69.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_9,Salience
1.0,68.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_8,Salience
1.0,67.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_7,Salience
1.0,66.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_6,Salience
1.0,65.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_5,Salience
1.0,64.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_4,Salience
1.0,63.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_3,Salience
1.0,62.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_2,Salience
1.0,61.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_1,Salience
1.0,60.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_20,DorsalAttn
1.0,59.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_19,DorsalAttn
1.0,58.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_18,DorsalAttn
1.0,57.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_17,DorsalAttn
1.0,56.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_16,DorsalAttn
1.0,55.0,0.0,LH_Vis_1,Visual,LH_DorsAttn_15,DorsalAttn
1.0,86.0,0.0,LH_Vis_1,Visual,LH_Limbic_6,Limbic
1.0,85.0,0.0,LH_Vis_1,Visual,LH_Limbic_5,Limbic
1.0,84.0,0.0,LH_Vis_1,Visual,LH_Limbic_4,Limbic
1.0,83.0,0.0,LH_Vis_1,Visual,LH_Limbic_3,Limbic
1.0,82.0,0.0,LH_Vis_1,Visual,LH_Limbic_2,Limbic
1.0,81.0,0.0,LH_Vis_1,Visual,LH_Limbic_1,Limbic
1.0,80.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_20,Salience
1.0,79.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_19,Salience
1.0,78.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_18,Salience
1.0,77.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_17,Salience
1.0,76.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_16,Salience
1.0,75.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_15,Salience
1.0,74.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_14,Salience
1.0,73.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_13,Salience
1.0,72.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_12,Salience
1.0,71.0,0.0,LH_Vis_1,Visual,LH_SalVentAttn_11,Salience
1.0,102.0,0.0,LH_Vis_1,Visual,LH_Default_2,Default
1.0,101.0,0.0,LH_Vis_1,Visual,LH_Default_1,Default
1.0,100.0,0.0,LH_Vis_1,Visual,LH_FrontPar_10,Frontoparietal
1.0,99.0,0.0,LH_Vis_1,Visual,LH_FrontPar_9,Frontoparietal
1.0,98.0,0.0,LH_Vis_1,Visual,LH_FrontPar_8,Frontoparietal
1.0,97.0,0.0,LH_Vis_1,Visual,LH_FrontPar_7,Frontoparietal
1.0,96.0,0.0,LH_Vis_1,Visual,LH_FrontPar_6,Frontoparietal
1.0,95.0,0.0,LH_Vis_1,Visual,LH_FrontPar_5,Frontoparietal
1.0,94.0,0.0,LH_Vis_1,Visual,LH_FrontPar_4,Frontoparietal
1.0,93.0,0.0,LH_Vis_1,Visual,LH_FrontPar_3,Frontoparietal
1.0,92.0,0.0,LH_Vis_1,Visual,LH_FrontPar_2,Frontoparietal
1.0,91.0,0.0,LH_Vis_1,Visual,LH_FrontPar_1,Frontoparietal
1.0,90.0,0.0,LH_Vis_1,Visual,LH_Limbic_10,Limbic
1.0,89.0,0.0,LH_Vis_1,Visual,LH_Limbic_9,Limbic
1.0,88.0,0.0,LH_Vis_1,Visual,LH_Limbic_8,Limbic
1.0,87.0,0.0,LH_Vis_1,Visual,LH_Limbic_7,Limbic
1.0,118.0,0.0,LH_Vis_1,Visual,LH_Default_18,Default
1.0,117.0,0.0,LH_Vis_1,Visual,LH_Default_17,Default
1.0,116.0,0.0,LH_Vis_1,Visual,LH_Default_16,Default
1.0,115.0,0.0,LH_Vis_1,Visual,LH_Default_15,Default
1.0,114.0,0.0,LH_Vis_1,Visual,LH_Default_14,Default
1.0,113.0,0.0,LH_Vis_1,Visual,LH_Default_13,Default
1.0,112.0,0.0,LH_Vis_1,Visual,LH_Default_12,Default
1.0,111.0,0.0,LH_Vis_1,Visual,LH_Default_11,Default
1.0,110.0,0.0,LH_Vis_1,Visual,LH_Default_10,Default
1.0,109.0,0.0,LH_Vis_1,Visual,LH_Default_9,Default
1.0,108.0,0.0,LH_Vis_1,Visual,LH_Default_8,Default
1.0,107.0,0.0,LH_Vis_1,Visual,LH_Default_7,Default
1.0,106.0,0.0,LH_Vis_1,Visual,LH_Default_6,Default
1.0,105.0,0.0,LH_Vis_1,Visual,LH_Default_5,Default
1.0,104.0,0.0,LH_Vis_1,Visual,LH_Default_4,Default
1.0,103.0,0.0,LH_Vis_1,Visual,LH_Default_3,Default
1.0,134.0,0.0,LH_Vis_1,Visual,RH_Vis_14,Visual
1.0,133.0,0.0,LH_Vis_1,Visual,RH_Vis_13,Visual
1.0,132.0,0.0,LH_Vis_1,Visual,RH_Vis_12,Visual
1.0,131.0,0.0,LH_Vis_1,Visual,RH_Vis_11,Visual
1.0,130.0,0.0,LH_Vis_1,Visual,RH_Vis_10,Visual
1.0,129.0,0.0,LH_Vis_1,Visual,RH_Vis_9,Visual
1.0,128.0,0.0,LH_Vis_1,Visual,RH_Vis_8,Visual
1.0,127.0,0.0,LH_Vis_1,Visual,RH_Vis_7,Visual
1.0,126.0,0.0,LH_Vis_1,Visual,RH_Vis_6,Visual
1.0,125.0,0.0,LH_Vis_1,Visual,RH_Vis_5,Visual
1.0,124.0,0.0,LH_Vis_1,Visual,RH_Vis_4,Visual
1.0,123.0,0.0,LH_Vis_1,Visual,RH_Vis_3,Visual
1.0,122.0,0.0,LH_Vis_1,Visual,RH_Vis_2,Visual
1.0,121.0,0.0,LH_Vis_1,Visual,RH_Vis_1,Visual
1.0,120.0,0.0,LH_Vis_1,Visual,LH_Default_20,Default
1.0,119.0,0.0,LH_Vis_1,Visual,LH_Default_19,Default
1.0,150.0,0.0,LH_Vis_1,Visual,RH_SomMot_10,Somatomotor
1.0,149.0,0.0,LH_Vis_1,Visual,RH_SomMot_9,Somatomotor
1.0,148.0,0.0,LH_Vis_1,Visual,RH_SomMot_8,Somatomotor
1.0,147.0,0.0,LH_Vis_1,Visual,RH_SomMot_7,Somatomotor
1.0,146.0,0.0,LH_Vis_1,Visual,RH_SomMot_6,Somatomotor
1.0,145.0,0.0,LH_Vis_1,Visual,RH_SomMot_5,Somatomotor
1.0,144.0,0.0,LH_Vis_1,Visual,RH_SomMot_4,Somatomotor
1.0,143.0,0.0,LH_Vis_1,Visual,RH_SomMot_3,Somatomotor
1.0,142.0,0.0,LH_Vis_1,Visual,RH_SomMot_2,Somatomotor
1.0,141.0,0.0,LH_Vis_1,Visual,RH_SomMot_1,Somatomotor
1.0,140.0,0.0,LH_Vis_1,Visual,RH_Vis_20,Visual
1.0,139.0,0.0,LH_Vis_1,Visual,RH_Vis_19,Visual
1.0,138.0,0.0,LH_Vis_1,Visual,RH_Vis_18,Visual
1.0,137.0,0.0,LH_Vis_1,Visual,RH_Vis_17,Visual
